,sex,cabin,CabinReduced,sex_mapped,cabin_mapped,CabinReduced_mapped
501,female,,,0,0,0
588,female,,,0,0,0
402,female,,,0,0,0
1193,male,,,1,0,0
686,female,,,0,0,0
971,male,,,1,0,0
117,female,E36,E,0,1,1
540,female,,,0,0,0
294,male,C68,C,1,2,2
261,male,E24,E,1,3,1
587,male,,,1,0,0
489,female,,,0,0,0
2,female,C22 C26,C,0,4,2
405,male,,,1,0,0
1284,male,,,1,0,0
338,male,,,1,0,0
356,male,,,1,0,0
985,male,,,1,0,0
182,female,,,0,0,0
1027,male,,,1,0,0
1023,female,,,0,0,0
657,female,,,0,0,0
891,male,,,1,0,0
716,male,,,1,0,0
1142,male,,,1,0,0
520,male,D38,D,1,5,3
1267,female,,,0,0,0
395,female,,,0,0,0
905,male,,,1,0,0
278,male,B50,B,1,6,4
239,male,A24,A,1,7,5
1254,male,,,1,0,0
1084,male,,,1,0,0
110,male,C111,C,1,8,2
1255,male,,,1,0,0
1306,male,,,1,0,0
822,male,,,1,0,0
1114,male,,,1,0,0
1110,male,,,1,0,0
1048,female,,,0,0,0
1034,male,,,1,0,0
568,male,F,F,1,9,6
615,male,,,1,0,0
840,female,,,0,0,0
367,male,,,1,0,0
655,male,,,1,0,0
1295,male,,,1,0,0
384,male,,,1,0,0
200,male,C6,C,1,10,2
279,male,C87,C,1,11,2
65,female,E8,E,0,12,1
481,female,,,0,0,0
619,male,,,1,0,0
892,male,,,1,0,0
272,female,B45,B,0,13,4
1137,male,,,1,0,0
581,male,,,1,0,0
165,male,C93,C,1,14,2
761,male,,,1,0,0
998,male,,,1,0,0
592,male,,,1,0,0
947,female,,,0,0,0
997,female,,,0,0,0
1174,female,,,0,0,0
921,male,,,1,0,0
1281,male,,,1,0,0
188,female,D28,D,0,15,3
40,male,,,1,0,0
783,male,,,1,0,0
824,male,,,1,0,0
724,male,,,1,0,0
1036,female,,,0,0,0
316,male,,,1,0,0
214,female,D36,D,0,16,3
1129,male,,,1,0,0
1203,male,,,1,0,0
644,male,,,1,0,0
362,female,,,0,0,0
1205,female,,,0,0,0
260,female,C125,C,0,17,2
19,male,C6,C,1,10,2
255,female,B35,B,0,18,4
30,male,T,T,1,19,7
1273,female,,,0,0,0
687,female,,,0,0,0
230,female,B73,B,0,20,4
464,male,,,1,0,0
1156,female,,,0,0,0
674,male,,,1,0,0
253,female,B57 B59 B63 B66,B,0,21,4
1271,male,,,1,0,0
1039,female,,,0,0,0
629,male,,,1,0,0
731,male,,,1,0,0
1232,male,,,1,0,0
553,female,,,0,0,0
264,male,A26,A,1,22,5
363,male,,,1,0,0
1181,male,,,1,0,0
101,male,A18,A,1,23,5
981,male,,,1,0,0
877,female,,,0,0,0
764,male,,,1,0,0
1105,male,,,1,0,0
922,female,,,0,0,0
315,female,,,0,0,0
780,female,,,0,0,0
982,male,,,1,0,0
993,female,,,0,0,0
1268,male,,,1,0,0
54,male,B96 B98,B,1,24,4
748,male,,,1,0,0
974,male,,,1,0,0
1178,male,,,1,0,0
487,male,,,1,0,0
775,male,,,1,0,0
471,female,,,0,0,0
1188,female,G6,G,0,25,8
975,female,,,0,0,0
495,male,,,1,0,0
754,male,,,1,0,0
787,male,,,1,0,0
1079,female,,,0,0,0
940,male,,,1,0,0
366,male,,,1,0,0
784,male,,,1,0,0
901,female,,,0,0,0
930,male,,,1,0,0
206,male,C78,C,1,26,2
79,female,C101,C,0,27,2
190,female,D9,D,0,28,3
492,male,,,1,0,0
926,male,,,1,0,0
145,male,D33,D,1,29,3
318,male,C128,C,1,30,2
654,male,,,1,0,0
457,male,,,1,0,0
144,female,E50,E,0,31,1
864,female,,,0,0,0
912,male,,,1,0,0
546,female,,,0,0,0
634,male,,,1,0,0
983,male,,,1,0,0
83,female,B26,B,0,32,4
154,male,B69,B,1,33,4
801,male,,,1,0,0
1026,female,E121,E,0,34,1
1190,male,,,1,0,0
127,female,C123,C,0,35,2
1293,male,,,1,0,0
403,male,,,1,0,0
150,male,B94,B,1,36,4
712,male,,,1,0,0
413,male,,,1,0,0
711,male,,,1,0,0
1227,female,,,0,0,0
1069,male,,,1,0,0
729,male,,,1,0,0
999,female,,,0,0,0
1056,male,,,1,0,0
352,female,,,0,0,0
95,female,A34,A,0,37,5
37,male,,,1,0,0
485,male,D,D,1,38,3
143,male,E50,E,1,31,1
662,male,,,1,0,0
158,male,C39,C,1,39,2
552,male,,,1,0,0
652,male,,,1,0,0
953,male,,,1,0,0
867,female,,,0,0,0
728,male,,,1,0,0
236,male,,,1,0,0
222,male,D43,D,1,40,3
1147,female,,,0,0,0
950,male,,,1,0,0
752,male,,,1,0,0
704,male,,,1,0,0
578,male,,,1,0,0
62,male,E31,E,1,41,1
193,female,B5,B,0,42,4
235,male,,,1,0,0
181,female,D17,D,0,43,3
713,male,,,1,0,0
521,female,F33,F,0,44,6
661,female,,,0,0,0
943,female,,,0,0,0
583,female,,,0,0,0
382,female,,,0,0,0
1246,male,,,1,0,0
1212,male,,,1,0,0
331,male,,,1,0,0
262,male,E44,E,1,45,1
6,female,D7,D,0,46,3
266,male,,,1,0,0
38,male,A21,A,1,47,5
1269,male,,,1,0,0
545,female,,,0,0,0
118,male,D34,D,1,48,3
621,female,,,0,0,0
105,female,A29,A,0,49,5
1064,male,,,1,0,0
484,female,F33,F,0,44,6
899,female,,,0,0,0
20,male,D35,D,1,50,3
242,female,A11,A,0,51,5
50,female,B51 B53 B55,B,0,52,4
162,male,,,1,0,0
830,male,,,1,0,0
746,male,,,1,0,0
848,male,,,1,0,0
301,male,D46,D,1,53,3
172,male,E60,E,1,54,1
884,male,,,1,0,0
1132,male,,,1,0,0
1296,male,,,1,0,0
667,female,,,0,0,0
907,female,,,0,0,0
1231,female,G6,G,0,25,8
210,male,C30,C,1,55,2
344,female,,,0,0,0
306,male,D26,D,1,56,3
217,male,,,1,0,0
1283,male,,,1,0,0
289,female,E68,E,0,57,1
378,male,,,1,0,0
167,female,C93,C,0,14,2
421,male,,,1,0,0
980,female,,,0,0,0
616,male,,,1,0,0
12,female,B35,B,0,18,4
522,male,,,1,0,0
1009,male,,,1,0,0
68,male,A9,A,1,58,5
90,female,B71,B,0,59,4
959,male,,,1,0,0
380,female,F33,F,0,44,6
372,male,,,1,0,0
258,female,,,0,0,0
737,male,,,1,0,0
304,female,D37,D,0,60,3
1170,male,,,1,0,0
410,male,,,1,0,0
1264,male,,,1,0,0
665,female,,,0,0,0
42,female,C101,C,0,27,2
208,female,C78,C,0,26,2
1160,male,,,1,0,0
751,male,,,1,0,0
1001,female,,,0,0,0
596,male,,,1,0,0
1162,male,,,1,0,0
515,male,F2,F,1,61,6
285,male,C55 C57,C,1,62,2
1021,male,,,1,0,0
71,male,C89,C,1,63,2
561,male,,,1,0,0
179,male,C124,C,1,64,2
1230,female,G6,G,0,25,8
1223,female,,,0,0,0
493,male,,,1,0,0
116,female,C23 C25 C27,C,0,65,2
293,female,C126,C,0,66,2
76,female,E49,E,0,67,1
48,female,,,0,0,0
689,male,,,1,0,0
1195,male,,,1,0,0
1182,female,,,0,0,0
332,male,,,1,0,0
576,male,,,1,0,0
622,male,,,1,0,0
564,female,,,0,0,0
1138,male,,,1,0,0
766,male,,,1,0,0
409,male,,,1,0,0
994,male,F E46,F,1,68,6
1301,male,,,1,0,0
834,male,,,1,0,0
288,female,D17,D,0,43,3
630,male,,,1,0,0
524,male,,,1,0,0
157,male,E46,E,1,69,1
337,female,,,0,0,0
1234,male,,,1,0,0
496,male,,,1,0,0
46,male,,,1,0,0
869,male,,,1,0,0
462,male,,,1,0,0
1151,female,,,0,0,0
829,female,,,0,0,0
439,male,,,1,0,0
177,male,D19,D,1,70,3
992,female,,,0,0,0
1054,female,,,0,0,0
424,male,,,1,0,0
325,male,,,1,0,0
902,male,,,1,0,0
664,male,,,1,0,0
350,female,,,0,0,0
447,male,,,1,0,0
17,female,B58 B60,B,0,71,4
1111,male,,,1,0,0
758,male,,,1,0,0
1218,male,,,1,0,0
345,male,,,1,0,0
866,female,,,0,0,0
313,male,C82,C,1,72,2
757,female,,,0,0,0
451,male,,,1,0,0
170,male,B52 B54 B56,B,1,73,4
699,male,,,1,0,0
1307,male,,,1,0,0
133,male,C92,C,1,74,2
1108,male,,,1,0,0
1045,male,,,1,0,0
78,female,E45,E,0,75,1
1024,male,F G73,F,1,76,6
346,male,,,1,0,0
396,female,,,0,0,0
1070,male,,,1,0,0
389,male,,,1,0,0
385,male,,,1,0,0
744,male,,,1,0,0
119,male,,,1,0,0
1210,male,,,1,0,0
966,female,,,0,0,0
229,female,C65,C,0,77,2
1109,male,,,1,0,0
21,female,D35,D,0,50,3
1173,female,,,0,0,0
935,male,,,1,0,0
250,female,B57 B59 B63 B66,B,0,21,4
243,male,,,1,0,0
920,male,,,1,0,0
35,female,,,0,0,0
593,female,,,0,0,0
671,male,,,1,0,0
507,male,,,1,0,0
937,female,,,0,0,0
771,female,,,0,0,0
1059,male,,,1,0,0
109,male,E25,E,1,78,1
963,male,,,1,0,0
379,female,,,0,0,0
614,male,,,1,0,0
