,survived
501,1
588,1
402,1
1193,0
686,1
971,0
117,1
540,1
294,0
261,1
587,1
489,1
2,0
405,0
1284,0
338,0
356,0
985,1
182,1
1027,0
1023,1
657,1
891,0
716,0
1142,0
520,1
1267,0
395,1
905,1
278,1
239,0
1254,1
1084,0
110,0
1255,0
1306,0
822,0
1114,0
1110,0
1048,1
1034,1
568,0
615,0
840,0
367,0
655,0
1295,0
384,0
200,0
279,0
65,1
481,1
619,0
892,0
272,1
1137,0
581,0
165,1
761,0
998,0
592,0
947,1
997,1
1174,0
921,0
1281,0
188,1
40,0
783,1
824,0
724,0
1036,1
316,0
214,1
1129,0
1203,0
644,0
362,1
1205,1
260,1
19,0
255,1
30,0
1273,0
687,0
230,1
464,0
1156,0
674,1
253,1
1271,0
1039,1
629,0
731,0
1232,1
553,1
264,1
363,0
1181,0
101,0
981,1
877,0
764,0
1105,0
922,1
315,1
780,1
982,0
993,1
1268,0
54,1
748,0
974,0
1178,0
487,0
775,0
471,1
1188,1
975,0
495,0
754,0
787,0
1079,1
940,0
366,0
784,0
901,0
930,0
206,0
79,1
190,1
492,1
926,1
145,1
318,0
654,0
457,0
144,1
864,0
912,0
546,1
634,0
983,0
83,1
154,0
801,0
1026,1
1190,1
127,1
1293,0
403,0
150,0
712,0
413,0
711,0
1227,0
1069,0
729,0
999,1
1056,1
352,1
95,1
37,1
485,0
143,1
662,0
158,0
552,0
652,0
953,1
867,1
728,0
236,0
222,0
1147,0
950,0
752,0
704,0
578,0
62,0
193,1
235,1
181,1
713,0
521,1
661,1
943,0
583,1
382,0
1246,0
1212,0
331,0
262,0
6,1
266,0
38,0
1269,0
545,1
118,0
621,1
105,0
1064,1
484,1
899,1
20,1
242,1
50,1
162,0
830,0
746,1
848,0
301,0
172,0
884,0
1132,0
1296,0
667,0
907,0
1231,0
210,0
344,1
306,0
217,0
1283,0
289,1
378,0
167,1
421,0
980,1
616,0
12,1
522,0
1009,0
68,1
90,1
959,0
380,1
372,0
258,1
737,0
304,1
1170,0
410,0
1264,0
665,0
42,1
208,1
1160,0
751,0
1001,1
596,1
1162,1
515,1
285,0
1021,0
71,0
561,0
179,0
1230,0
1223,1
493,0
116,1
293,1
76,1
48,1
689,0
1195,0
1182,1
332,0
576,0
622,0
564,1
1138,0
766,0
409,0
994,0
1301,0
834,0
288,1
630,1
524,1
157,0
337,1
1234,0
496,0
46,0
869,0
462,0
1151,0
829,0
439,0
177,1
992,0
1054,0
424,0
325,0
902,0
664,1
350,1
447,0
17,1
1111,0
758,1
1218,0
345,0
866,1
313,0
757,1
451,0
170,1
699,0
1307,0
133,1
1108,0
1045,0
78,1
1024,0
346,0
396,1
1070,0
389,0
385,1
744,0
119,1
1210,0
966,0
229,1
1109,0
21,1
1173,0
935,1
250,1
243,0
920,0
35,1
593,1
671,0
507,0
937,0
771,1
1059,0
109,1
963,0
379,1
614,0
604,1
627,0
660,1
582,1
723,0
171,0
677,0
238,1
700,0
986,0
1014,0
709,1
1285,0
321,0
120,1
1161,0
155,1
1112,0
624,0
138,0
125,0
456,0
66,1
831,0
881,1
1153,0
626,0
605,1
1294,0
1133,0
178,1
1081,1
415,1
100,1
871,0
1165,0
741,0
334,0
114,0
681,0
220,1
391,0
1202,0
309,1
1154,0
1222,0
527,0
927,0
245,1
685,0
518,0
1017,1
861,0
394,0
640,0
104,1
1233,1
1031,0
979,0
51,0
602,0
354,0
1226,0
460,1
22,1
374,0
538,1
218,1
585,0
944,0
841,0
879,0
414,0
205,0
1061,1
497,0
516,0
702,0
676,0
375,0
185,0
404,0
706,0
1277,1
401,1
856,1
1063,0
441,1
132,0
745,1
173,0
690,0
825,0
827,0
428,1
915,0
1288,0
1126,0
718,0
282,1
96,0
957,0
635,0
738,1
499,0
74,0
89,0
984,1
691,0
1113,0
0,1
558,1
683,0
392,1
476,0
1159,1
519,0
107,1
347,0
1101,0
1029,0
223,0
1303,0
327,0
870,1
102,1
1086,0
620,0
475,0
213,1
707,0
135,0
852,0
246,0
1290,1
1083,0
1177,0
1032,0
1096,0
1011,0
989,0
365,0
248,0
736,0
26,1
836,0
284,1
417,0
913,1
680,0
904,0
3,0
134,1
837,0
355,1
292,1
698,0
1136,0
1116,0
1261,1
906,0
897,0
1010,0
228,0
643,1
225,0
226,0
842,0
369,0
1185,0
844,0
339,1
419,0
1123,1
603,1
1180,0
265,1
454,1
63,1
1127,0
1049,1
360,1
237,0
650,0
112,1
1238,1
1088,1
532,0
577,1
810,0
126,0
259,1
1074,0
148,0
721,0
1038,0
376,1
851,1
896,0
694,0
137,1
1057,1
7,0
502,1
854,0
631,0
1120,1
371,1
929,0
29,1
411,0
407,1
1275,0
357,0
353,1
788,0
153,1
566,0
542,1
343,1
305,0
612,1
4,0
280,1
1121,1
1229,0
1266,0
56,1
400,1
572,1
962,0
473,0
468,0
1044,1
1058,0
1237,0
1018,0
776,0
847,0
504,0
534,1
720,0
903,0
13,1
648,0
679,0
550,1
838,0
1163,0
781,0
300,0
1062,0
1055,0
945,1
570,1
163,1
636,0
666,0
336,1
59,1
1175,0
1219,0
53,0
490,0
326,0
449,1
855,0
1025,1
1016,0
1107,0
823,1
939,0
826,0
437,1
670,0
563,0
1097,0
1224,0
786,0
873,0
1282,0
819,1
